problem_id,domain,language,prompt,model,run,correct
13226850,Algebra,ES,ZS,GPT-4o,3,0
89629381,Theory of Numbers,ES,ZS,GPT-4o,3,0
30542860,Geometry,ES,ZS,GPT-4o,3,0
39221677,Geometry,ES,ZS,GPT-4o,3,0
28658009,Theory of Numbers,ES,ZS,GPT-4o,3,1
69710886,Theory of Numbers,ES,ZS,GPT-4o,3,0
78646333,Geometry,ES,ZS,GPT-4o,3,0
52601141,Mathematical Logic,ES,ZS,GPT-4o,3,0
49790913,Theory of Numbers,ES,ZS,GPT-4o,3,0
39271842,Algebra,ES,ZS,GPT-4o,3,1
33207141,Geometry,ES,ZS,GPT-4o,3,0
41858890,Geometry,ES,ZS,GPT-4o,3,0
14793502,Probability,ES,ZS,GPT-4o,3,1
31369699,Theory of Numbers,ES,ZS,GPT-4o,3,0
35785392,Mathematical Logic,ES,ZS,GPT-4o,3,1
36102586,Algebra,ES,ZS,GPT-4o,3,1
41485018,Probability,ES,ZS,GPT-4o,3,0
44556592,Calculus,ES,ZS,GPT-4o,3,0
54579607,Calculus,ES,ZS,GPT-4o,3,0
60713931,Probability,ES,ZS,GPT-4o,3,0
64041478,Algebra,ES,ZS,GPT-4o,3,0
65904660,Mathematical Logic,ES,ZS,GPT-4o,3,0
69758831,Theory of Numbers,ES,ZS,GPT-4o,3,0
70107447,Probability,ES,ZS,GPT-4o,3,1
70675663,Calculus,ES,ZS,GPT-4o,3,0
75069520,Probability,ES,ZS,GPT-4o,3,0
75721634,Geometry,ES,ZS,GPT-4o,3,0
80693918,Theory of Numbers,ES,ZS,GPT-4o,3,0
80866823,Probability,ES,ZS,GPT-4o,3,1
84145301,Probability,ES,ZS,GPT-4o,3,0
85182422,Probability,ES,ZS,GPT-4o,3,0
92277356,Geometry,ES,ZS,GPT-4o,3,1
94075696,Geometry,ES,ZS,GPT-4o,3,0
97250565,Geometry,ES,ZS,GPT-4o,3,0
11110001,Calculus,ES,ZS,GPT-4o,3,0
11110002,Calculus,ES,ZS,GPT-4o,3,0
11110003,Calculus,ES,ZS,GPT-4o,3,1
11110004,Mathematical Logic,ES,ZS,GPT-4o,3,1
11110005,Mathematical Logic,ES,ZS,GPT-4o,3,1
11110006,Mathematical Logic,ES,ZS,GPT-4o,3,0
29686107,Probability,ES,ZS,GPT-4o,3,0
66145698,Probability,ES,ZS,GPT-4o,3,1
39293819,Probability,ES,ZS,GPT-4o,3,1
13410727,Probability,ES,ZS,GPT-4o,3,0
64475599,Probability,ES,ZS,GPT-4o,3,1
11110007,Combinatorics,ES,ZS,GPT-4o,3,0
11110008,Combinatorics,ES,ZS,GPT-4o,3,0
11110009,Combinatorics,ES,ZS,GPT-4o,3,1
11110010,Combinatorics,ES,ZS,GPT-4o,3,1
11110011,Combinatorics,ES,ZS,GPT-4o,3,1
11110012,Combinatorics,ES,ZS,GPT-4o,3,1
11110013,Combinatorics,ES,ZS,GPT-4o,3,1
11110014,Combinatorics,ES,ZS,GPT-4o,3,0
11110015,Combinatorics,ES,ZS,GPT-4o,3,1
11110016,Combinatorics,ES,ZS,GPT-4o,3,0
11110017,Combinatorics,ES,ZS,GPT-4o,3,1
11110018,Combinatorics,ES,ZS,GPT-4o,3,0
11110019,Combinatorics,ES,ZS,GPT-4o,3,1
11110020,Combinatorics,ES,ZS,GPT-4o,3,0
38829155,Calculus,ES,COT,GPT-4o,1,1
57228746,Geometry,ES,COT,GPT-4o,1,0
67283791,Geometry,ES,COT,GPT-4o,1,0
22560123,Calculus,ES,COT,GPT-4o,1,1
11903135,Geometry,ES,COT,GPT-4o,1,1
28888083,Geometry,ES,COT,GPT-4o,1,1
32509360,Geometry,ES,COT,GPT-4o,1,0
91245748,Calculus,ES,COT,GPT-4o,1,0
69096660,Calculus,ES,COT,GPT-4o,1,0
92325881,Calculus,ES,COT,GPT-4o,1,1
37339456,Calculus,ES,COT,GPT-4o,1,1
68035715,Geometry,ES,COT,GPT-4o,1,0
88300591,Mathematical Logic,ES,COT,GPT-4o,1,1
30264009,Mathematical Logic,ES,COT,GPT-4o,1,0
69874541,Mathematical Logic,ES,COT,GPT-4o,1,1
42283864,Mathematical Logic,ES,COT,GPT-4o,1,0
40400682,Probability,ES,COT,GPT-4o,1,0
11740200,Mathematical Logic,ES,COT,GPT-4o,1,1
10016400,Mathematical Logic,ES,COT,GPT-4o,1,0
22015068,Mathematical Logic,ES,COT,GPT-4o,1,0
95825976,Probability,ES,COT,GPT-4o,1,0
13123055,Calculus,ES,COT,GPT-4o,1,0
41926288,Calculus,ES,COT,GPT-4o,1,1
39422336,Theory of Numbers,ES,COT,GPT-4o,1,0
46648638,Algebra,ES,COT,GPT-4o,1,1
91557340,Algebra,ES,COT,GPT-4o,1,1
95742475,Theory of Numbers,ES,COT,GPT-4o,1,0
37465279,Theory of Numbers,ES,COT,GPT-4o,1,0
46784732,Algebra,ES,COT,GPT-4o,1,1
